
#S 1 L1 x-ray emission rates
#N 20
#L Z  TOTAL  L1L2  L1L3  L1M1  L1M2  L1M3  L1M4  L1M5  L1N1  L1N2  L1N3  L1N4  L1N5  L1N67  L1O1  L1O2  L1O3  L1O45  L1P23
102  4.2202  5.521e-005  0.099994  4.7651e-005  0.36728  0.22984  0.02116  0.031254  2.3008e-005  0.10236  0.078668  0.0039713  0.0064072  0.00021918  7.3929e-006  0.027392  0.021515  0.0021468  0.0076536  
103  4.4557  5.2518e-005  0.10593  5.1732e-005  0.36875  0.22152  0.021703  0.032004  2.5047e-005  0.10302  0.076756  0.0041116  0.006632  0.00023094  8.1021e-006  0.027807  0.021164  0.0022533  0.0079899  
104  4.7036  4.9813e-005  0.11247  5.6149e-005  0.37015  0.21303  0.022239  0.032741  2.7277e-005  0.10354  0.074624  0.0042542  0.0068672  0.0002428  8.9082e-006  0.028191  0.020814  0.0023663  0.0083341  
105  4.7036  4.9813e-005  0.11247  5.6149e-005  0.37015  0.21303  0.022239  0.032741  2.7277e-005  0.10354  0.074624  0.0042542  0.0068672  0.0002428  8.9082e-006  0.028191  0.020814  0.0023663  0.0083341  
106  4.7036  4.9813e-005  0.11247  5.6149e-005  0.37015  0.21303  0.022239  0.032741  2.7277e-005  0.10354  0.074624  0.0042542  0.0068672  0.0002428  8.9082e-006  0.028191  0.020814  0.0023663  0.0083341  
107  4.7036  4.9813e-005  0.11247  5.6149e-005  0.37015  0.21303  0.022239  0.032741  2.7277e-005  0.10354  0.074624  0.0042542  0.0068672  0.0002428  8.9082e-006  0.028191  0.020814  0.0023663  0.0083341  
108  4.7036  4.9813e-005  0.11247  5.6149e-005  0.37015  0.21303  0.022239  0.032741  2.7277e-005  0.10354  0.074624  0.0042542  0.0068672  0.0002428  8.9082e-006  0.028191  0.020814  0.0023663  0.0083341  
109  4.7036  4.9813e-005  0.11247  5.6149e-005  0.37015  0.21303  0.022239  0.032741  2.7277e-005  0.10354  0.074624  0.0042542  0.0068672  0.0002428  8.9082e-006  0.028191  0.020814  0.0023663  0.0083341  

#S 2 L2 x-ray emission rates
#N 22
